X,Y
213.5009174,169.7724771
240.5086239,151.7658716
302.2436697,241.7944954
187.7768807,133.7592661
214.786789,168.4844037
237.9368807,181.3475229
194.2084404,158.1974312
190.3486239,123.4700917
221.2161468,181.3453211
219.9302752,180.0594495
201.9258716,145.3343119
235.3629358,200.6377982
168.5926531,167.164898
180.0220408,135.7322449
264.6440816,220.2979592
278.9485714,216.004898
175.6894118,141.3764706
152.3552941,171.5717647
304.7129412,231.9647059
244.3176471,170.2
283.1548515,197.0994059
167.7433663,151.1073267
133.0852277,102.5866931
400.6431683,250.9211881
173.289505,106.7477228
259.240396,182.9940594
277.2336,191.8248
238.0272,161.0184
187.6224,142.8192
197.424,140.0184
176.1216,123.7608
204.6792,160.2528
169.4208,151.2192
207.2256,130.2168
198.2423762,140.0174257
235.4128302,163.994717
179.8664151,99.19245283
198.3803774,152.0920755
294.9283019,223.5101887
244.6686792,202.349434
153.2261887,108.3151698
182.2845283,120.2015094
208.7049057,173.04
147.9418868,110.9569811
217.9516981,118.8815094
182.2867925,161.1532075
170.6083019,145.4784906
195.7358491,142.8339623
152.0920755,132.2535849
211.6075472,162.6724528
402.5488889,346.8911111
383.1333333,330.0644444
442.6733333,375.3666667
424.5511111,368.8933333
437.4955556,381.8377778
440.0822222,353.36
482.7977778,432.3177778
451.7333333,399.96
472.4422222,411.6088889
512.5688889,464.6755556
362.4222222,333.9466667
375.3666667,346.8911111
441.3777778,392.1911111
394.78,318.4133333
414.1955556,363.7155556
429.7288889,379.2488889
376.66,326.18
390.8977778,337.8288889
458.2044444,407.7244444
391.9656863,323.5490196
394.8161765,307.872549
468.9338235,417.620098
381.9877451,324.9754902
394.8161765,333.5269608
379.1372549,320.7009804
382.5980392,341.1960784
358.3284314,301.2254902
412.5784314,355.4730392
472.5367647,419.7156863
414.0073529,369.75
459.6911765,391.1642157
488.8872549,393.3897059
423.3235294,346.3553922
429.0245098,372.0098039
389.1151961,333.5269608
409.0686275,352.0563725
474.6348039,407.6446078
407.8147268,363.5771971
382.9311164,346.9881235
595.824228,465.8764846
429.9334917,358.0475059
414.7268409,356.6650831
360.8123515,305.5154394
423.0213777,364.95962
425.7862233,359.4299287
465.8764846,435.4631829
380.1662708,331.7814727
464.4940618,418.8741093
391.2256532,333.1638955
470.023753,396.7553444
302.7505938,248.8361045
424.4038005,317.9572447
391.2256532,322.1045131
360.8123515,322.1045131
464.4940618,389.8432304
381.5486936,304.1330166
474.1710214,409.1971496
454.8171021,378.783848
393.9294118,315.6917647
385.6917647,326.6729412
304.7105882,248.4352941
485.8894118,406.28
381.5764706,297.8494118
426.8705882,356.8682353
417.2611765,356.8682353
441.9670588,367.8494118
334.8870588,292.3388235
467.6568,361.2432
445.2528,348.6408
418.6512,361.2432
413.0496,343.0416
469.056,424.2504
477.4584,431.2536
404.6496,323.4408
366.8424,305.2368
504.0624,425.652
406.0488,320.6376
492.1378218,354.8934654
478.2748515,336.8720792
476.889505,390.9386139
443.619802,403.4162377
453.3219802,367.3710891
378.4609901,303.6
393.7116832,292.510099
404.8015842,347.9643565
428.3691089,353.5081188
415.8938614,342.4182178
546.2043565,474.1164357
467.1849505,386.7801981
