X,Y
77.7575736,96.952956
50.8253112,90.8189976
85.2352224,135.4918416
50.5475808,113.81802
110.204832,151.9760184
103.044588,177.2021976
198.7517088,273.0257016
115.2675216,164.5454592
84.8014272,138.496656
155.9277696,218.4179064
73.8058128,116.4260688
60.3608424,82.2092472
79.8233832,130.3921224
166.3229568,253.9281792
53.6423304,96.9688272
68.69296653,114.7320288
218.611418,246.6016056
89.40437388,140.7963192
122.4946384,150.055932
72.12195184,112.6212
211.0821894,254.0172048
120.7181412,177.2218656
66.23444571,115.0516848
101.4543527,150.9224544
314.8306335,357.0406584
193.6218539,246.9661656
95.88224571,159.0804192
194.3811882,280.7031576
127.7520188,121.573344
103.4697341,150.5364312
94.67015765,107.0738808
126.9265059,183.297576
218.3560988,272.886108
70.36738353,127.5600432
95.95818353,154.3792704
344.3368158,416.5533525
411.362536,470.480506
598.4901717,643.5818969
509.9876535,574.6875779
466.8147264,543.9947626
445.2877233,521.7858705
504.5114357,555.1983333
450.1323014,496.299717
651.0245199,679.5157458
426.0468777,476.7919161
477.8279698,549.7590624
522.1664561,553.6363094
428.9700014,476.2976787
347.4052882,402.1147818
454.0359396,500.5469376
460.537676,505.4681799
454.2315442,522.2616139
530.4178152,581.3478633
443.1944798,493.1624868
428.7268705,485.9683333
391.9631404,443.0887674
442.1954338,522.6976787
478.0975467,524.4023933
573.8524006,639.3161439
431.1108312,470.5016667
497.5014248,554.7140882
501.1301745,549.2480613
476.4736336,507.0953333
498.6777304,547.1274632
488.1665515,532.8661397
460.1753275,533.3598382
456.0232169,513.8941838
456.5519787,500.9547892
501.1706541,548.9566936
490.3896575,537.44725
474.3638565,525.8730637
488.4174597,524.6427966
445.663105,505.9784118
458.0898475,490.8105515
463.4651508,512.3136635
398.1884159,466.2461318
365.4197662,430.4945176
418.761732,457.87684
422.7487812,487.5952
586.1294645,608.1254918
368.1656068,410.7174118
378.6806219,428.8435106
464.8497777,503.1042494
431.3610185,493.6430894
513.7831795,554.9357153
380.2730903,443.3074871
