X,Y
72.79649347,89.71848475
153.2912531,150.6482994
166.7839105,116.4436444
217.2453885,233.6175042
84.47692515,87.48054891
69.89929663,66.36353584
73.98362424,107.1601382
58.75861576,83.98482909
96.61603636,92.14625455
97.50878303,125.8415248
216.2659906,212.8422541
44.81981882,84.03716
162.9231459,183.2321247
36.88297647,47.38762118
193.6589671,197.8919482
188.9902282,201.3986776
225.7175718,209.0190776
244.2524518,221.5312941
70.98545882,75.09394118
80.42667529,85.15765412
70.52896471,80.94801412
63.61924471,86.85915059
116.9050235,114.2905341
121.0368518,146.8315906
64.70860941,73.95269647
61.88688,74.11144706
367.7438645,379.9006881
534.6869111,519.9707571
361.1264019,348.0960667
499.587926,472.6438595
434.7930179,435.8208976
421.9844977,395.6713786
616.8343241,570.8019119
474.3293578,452.7172286
428.8834624,424.6890024
431.0576866,398.8290762
405.0496603,396.5718762
427.3282961,422.1296548
431.9581866,430.8562524
498.8325467,480.1263262
497.33668,480.9409643
425.4061545,447.8616122
611.3783783,582.0657171
475.4993391,480.7944317
371.3786917,361.1101585
529.4000228,533.9638171
368.8054908,353.5877902
428.6567225,418.7341122
417.8254718,407.4972
425.1398476,411.7042753
495.064458,507.2472518
425.2902789,394.8449553
415.0501679,381.4508682
385.6760944,354.3566894
387.4943085,378.7274706
337.6244753,361.0822541
473.9695487,442.7616776
390.7727735,371.4753506
315.7307107,306.6863412
365.6083294,372.3079576
387.3801567,362.6747906
386.342676,353.3295624
454.9574685,430.7060047
394.13427,381.3886353
325.5583979,321.6548188
395.3844641,397.1378329
394.4818372,388.3995176
401.4071296,378.6859694
393.5428886,381.8088118
347.5092124,328.3362918
338.8098096,342.4825435
342.1920407,325.7321694
268.1719052,295.8107929
475.956356,472.5404024
407.2222716,403.2590376
415.693444,404.5948329
396.3078192,365.8858494
364.9748175,372.5390612
