X,Y
185.3176471,183.9435294
196.2988235,193.5529412
114.0757647,112.7014118
131.9435294,134.6917647
150.9976471,179.8258824
122.1715294,138.6442353
89.33647059,93.45976471
384.9647059,378.2094118
68.72023529,89.33647059
369.2611765,374.7505882
195.1647059,222.6541176
232.2729412,259.7623529
210.2847059,246.0188235
175.7058824,166.0988235
221.28,193.7905882
259.7623529,235.0235294
156.1458824,169.2564706
113.2355294,116.8115294
146.4941022,146.1012675
99.99432059,109.3957565
93.05433018,107.4578369
85.27123817,86.84780677
121.1056278,137.3144028
188.788772,197.4783205
175.6838065,167.6942018
142.7843654,139.8905756
179.0879621,173.7137264
199.6821838,213.831887
291.1723284,309.3863757
296.8638707,287.0032355
262.4287383,266.7702968
228.8375276,212.6684565
227.0709471,221.0075014
219.667526,203.8940466
231.3743844,204.8079473
405.4494118,452.1788235
428.8141176,441.1835294
416.4447059,409.5717647
437.0611765,457.6776471
413.1882353,442.0141176
361.4682353,372.4635294
405.4517647,413.6964706
401.3270588,402.7011765
377.9623529,369.7152941
298.2470588,314.7411765
376.5858824,380.7105882
410.9482353,394.4564706
497.5364706,494.7858824
395.8282353,401.3247059
373.84,399.9529412
388.9576471,397.2047059
379.3364706,402.7011765
364.2188235,368.3411765
331.2305882,350.4729412
324.36,305.1176471
391.7058824,377.9623529
452.1811765,446.6823529
371.0894118,421.9435294
412.3223529,448.0564706
399.9529412,393.08
