X,Y
248.3327412,334.8971461
230.5708558,308.6913059
45.84601271,115.1801772
117.240222,153.968227
81.92229753,107.8599838
187.268092,231.6068024
328.5209632,377.2801438
322.6432348,376.9555545
202.7175305,250.3912753
329.8603602,365.7403417
95.52173661,135.0687185
90.40066598,152.1247056
124.7974318,179.8521275
86.13110999,143.1536967
300.8310708,345.6256779
94.8593433,156.3951957
81.27719233,116.9823718
106.8553183,152.9126983
148.2790687,200.9801517
154.1000482,219.9785015
301.3000121,359.4884429
154.088127,212.7590483
349.1443212,393.1161482
260.4552451,308.5299241
307.6171887,391.8867093
56.15299398,87.56060075
66.05469699,104.9875979
272.3027054,310.4759819
346.3526484,385.4569795
85.73986646,129.1891231
55.49091101,93.80606388
230.3989442,267.4159491
236.9799686,278.8464297
73.91892178,114.1636681
49.25835493,97.59599291
64.34555525,117.4306383
87.88661648,141.7904079
84.48623893,130.2082036
95.3805164,160.6677148
396.6331376,517.3475708
246.706065,330.4930305
336.9112512,432.7203883
303.5105556,449.5607478
408.5774818,483.8742382
373.4237891,441.1068509
239.0768137,329.8654771
314.8688593,471.0922548
343.759929,397.1595296
505.4716996,548.954118
441.4133035,498.6638497
521.7434914,542.4043625
399.4332279,422.5859833
404.224331,448.1497855
398.3904125,467.3317216
571.4175436,602.5416673
519.2057048,578.302289
460.4149964,522.70992
438.4501844,483.7313588
458.9892128,518.2873649
506.2240943,553.4350735
509.181769,562.1182036
458.7544766,486.8370673
409.9733692,512.4795785
379.2380144,443.8615552
416.555874,488.0800831
438.9655218,485.5074519
424.9970752,523.7101732
445.7166607,509.9522972
573.4351318,614.6126544
521.652264,552.11371
447.2043615,479.1475302
470.6304811,527.9926446
