X,Y
360.2856,186.4512
107.946,78.50616
93.92712,74.3004
133.1808,79.908
89.72136,71.49672
155.6088,117.7584
231.312,68.6928
248.136,99.5352
61.68336,36.44928
113.5536,74.3016
100.93632,68.6928
98.40230769,62.007
105.1419231,83.57446154
195.4569231,148.2784615
137.4934615,95.70623077
165.8007692,115.9269231
142.8853846,91.66153846
97.05461538,90.31384615
98.40230769,70.09384615
107.838,91.66223077
336.9946154,161.7576923
312.7315385,163.1053846
223.7653846,181.9776923
202.1976923,94.35923077
28.31797122,21.94642769
76.35738741,65.00167337
53.46702584,39.86298969
281.7819556,126.3806113
75.76353839,61.12740031
209.7500744,119.9598028
202.0741393,136.5797543
118.4635128,109.9681214
108.2929029,81.97171122
65.97153906,54.45763839
73.12882537,50.56780478
273.0039189,118.6554135
505.7835294,184.1717647
387.5835294,101.7058824
338.1035294,87.96
435.6870588,126.4447059
410.9458824,191.0423529
435.6870588,180.0470588
408.2,144.3129412
553.8847059,115.4494118
328.4847059,71.47058824
421.9435294,180.0470588
435.6870588,116.8235294
421.9435294,126.4470588
457.6776471,189.6682353
431.5623529,228.1505882
493.4117647,233.6494118
419.1952941,144.3129412
416.4447059,83.83764706
432.6992308,214.3269231
389.5661538,115.9269231
514.9269231,181.9753846
455.6146154,148.2761538
501.4453846,196.8046154
404.3930769,175.2369231
409.7861538,206.2407692
434.0469231,238.59
509.5361538,204.8930769
415.1769231,203.5430769
386.8684615,157.7123077
496.0546154,204.8930769
601.1976923,176.5846154
305.9907692,102.4476923
481.2276923,210.2861538
454.0625681,229.6711827
435.4121337,194.6160294
455.265835,198.6614553
492.0636387,245.3186837
397.3229278,135.9262649
423.9060145,118.3260691
443.793446,199.8232269
490.4454643,221.253593
416.5879537,166.1735882
304.6515696,150.6142591
