X,Y
209.5889109,117.980198
205.4257426,87.44554455
249.8423762,81.89227723
238.7382178,126.3089109
197.0970297,116.5924752
181.829703,81.89227723
241.7559184,123.0244898
200.2702041,110.1502041
177.3820408,111.5779592
223.1583673,97.27346939
158.7869388,71.52489796
174.5216327,72.95510204
90.12171429,40.05404082
65.80310204,28.60995918
240.3257143,120.1640816
261.7836735,117.3012245
145.9126531,87.26204082
219.72,64.70307692
194.1069231,138.84
115.926,62.00676923
245.3307692,142.8853846
221.0676923,72.78923077
239.9376923,119.97
299.25,159.0623077
152.3215385,84.92307692
188.7161538,93.01153846
126.7107692,64.70307692
163.1053846,88.96846154
184.3222222,114.2288889
163.5533333,109.0355556
138.8911111,67.49777778
141.4866667,76.58444444
142.7844444,109.0355556
132.4,63.60444444
132.4013333,62.30644444
164.8533333,96.05555556
216.7733333,146.68
159.66,88.26888889
185.6222222,98.65111111
185.62,85.67111111
157.0644444,77.88222222
399.152381,137.6880952
445.0452381,144.6404762
406.1047619,171.0642857
425.5761905,61.19285714
393.5857143,141.8571429
378.2904762,133.5142857
431.1380952,111.2619048
442.2666667,147.4214286
420.0119048,105.697619
541.0095238,212.7880952
522.9285714,194.7071429
408.8857143,111.2619048
407.4952381,191.9261905
407.4952381,169.6738095
393.5880952,132.1214286
464.5166667,176.6285714
449.2166667,150.202381
447.8285714,116.8238095
372.7261905,173.847619
393.5880952,101.5261905
396.3690476,144.6380952
337.9547619,83.4452381
410.2785714,198.8809524
385.2428571,105.7
440.9534314,251.9730392
410.8921569,164.6421569
472.4509804,210.4558824
475.3161765,223.3406863
499.6544118,166.0735294
472.4534314,266.2916667
491.0637255,196.1397059
621.3455882,343.6029412
485.3357843,214.75
501.0857843,210.4558824
422.3455882,163.2107843
496.7916667,210.4558824
455.2720588,200.4338235
381.4776923,167.1507692
447.5261538,161.7553846
439.44,212.9792308
436.7446154,276.3346154
508.1861538,169.8438462
490.6615385,132.1015385
469.0961538,214.3292308
463.7030769,305.9907692
408.4361538,171.1915385
435.3969231,215.6769231
403.0453846,184.6730769
509.5361538,172.5415385
434.0469231,141.5376923
380.13,141.5376923
401.6976923,150.9738462
419.22,155.0169231
447.5261538,149.6238462
459.66,141.5376923
413.8292308,141.5376923
357.2123077,141.5376923
475.8369231,184.6730769
477.1823077,246.6784615
401.6976923,118.6223077
394.9569231,159.0623077
400.3476923,118.62
293.8569231,114.5769231
407.0884615,184.6730769
427.3084615,140.19
401.6953846,184.6730769
448.8761538,156.3646154
308.6861538,86.27076923
412.4815385,145.5807692
377.4323077,181.9776923
428.6561538,192.7592308
451.5715385,155.0169231
459.66,169.8438462
539.19,179.28
351.8215385,157.7146154
431.3538462,237.2446154
587.7184615,187.3684615
477.1823077,187.3684615
