X,Y
71.73886353,100.0568353
288.0471835,336.8930894
217.3741365,275.2548235
89.62171294,133.6857224
52.76944941,87.64048706
95.94725882,127.7881647
113.1085082,172.5295671
76.18882824,103.1479529
68.70997882,117.2550729
165.2633624,224.6163086
66.65614588,115.2609355
56.03431529,109.155649
56.25214588,92.6751502
62.16728,122.6914653
298.2722518,360.292991
224.8011176,280.9080392
67.71418353,114.0085739
60.70211059,116.6671494
53.80414353,76.30800735
294.7091694,342.5115429
203.7316965,271.2053927
54.58902353,92.4699096
53.09900941,86.0203968
354.7232729,403.4977224
56.45373882,123.5052096
172.3149059,239.7308304
147.35056,194.4409152
98.79185176,145.8665136
311.6855365,371.0441328
445.5412654,497.0737506
368.1984683,415.6103247
406.5962881,463.9090612
407.0008154,514.5987318
352.722111,413.8235788
463.4837508,524.10288
437.6915892,481.3458682
491.6357492,554.5343176
380.8922847,481.4055247
365.5663162,412.9911365
361.7542831,408.0588329
366.5958304,404.3194118
432.7048245,453.7099129
442.6005449,486.1899929
537.0171306,610.7761106
396.0470381,461.6840471
427.9436507,461.6244
418.0375596,497.9243176
411.1706997,479.3205388
358.818774,406.5962753
463.6523303,510.2628824
471.1882145,529.6394118
455.0428254,515.7916165
496.3191118,551.8866447
418.3643105,463.0662518
416.7409518,481.7166918
494.5168517,556.0176776
434.0241097,471.9715711
383.7966705,428.4000662
488.9517776,530.9619559
393.7238508,434.2699387
526.1752833,584.0797402
418.7187035,485.2780343
498.0064333,534.851777
418.0271844,474.0407525
514.2421966,566.5823701
400.6775,444.0200172
532.7636163,586.965375
369.3219791,428.3260809
473.0696353,526.1818921
425.2620471,484.2697002
525.6179992,561.9570216
502.7494702,535.8573621
451.6063091,497.862482
431.6288392,465.234976
450.6038637,489.449024
489.3207553,569.4784341
370.5774791,447.3638034
459.6975712,506.9442662
425.1605921,456.8214868
418.4357903,459.8318441
394.3708926,443.3002854
446.9729449,554.6921871
387.7355623,469.5908489
552.6932379,620.7170216
