X,Y
150.013636,169.9272727
86.290909,87.61840909
138.065909,144.7022727
119.479545,114.1693182
82.308182,107.5315909
82.308182,102.2213636
82.308409,94.25636364
120.807273,106.2043182
322.595455,293.3886364
357.111364,359.7681818
304.009091,277.4568182
230.993182,217.7181818
175.238636,161.9613636
277.459091,265.5113636
309.320455,301.3545455
164.615909,143.375
229.668182,203.1159091
184.529545,169.925
153.744235,138.6442353
348.670588,330.8258824
172.962353,167.4705882
275.887059,244.3176471
199.021176,194.9035294
150.983529,146.8658824
118.8121292,118.2720739
215.8129959,202.0631375
240.5079219,188.8166669
379.9897634,385.2527794
319.3587157,288.0158178
282.4880012,261.6181754
235.0017713,187.2433468
377.9615385,354.1742081
434.7895928,401.7511312
465.1855204,432.1470588
473.1131222,412.3235294
425.5361991,401.7488688
494.2579186,462.540724
436.1108597,383.2488688
395.1425339,329.0656109
433.4683258,395.1425339
450.6470588,436.1108597
368.7104072,358.138009
404.3936652,381.9276018
449.3257919,412.321267
396.4638009,389.8552036
422.8936652,440.0746606
387.2126697,370.0316742
400.4276018,367.3891403
413.6425339,393.8190045
430.8235294,418.9298643
453.2895928,413.6425339
437.4321267,399.1063348
408.3574661,370.0316742
438.7533937,401.7511312
340.9570136,311.8846154
371.3552036,334.3506787
413.6425339,363.4253394
392.4977376,384.5701357
441.3959276,405.7149321
426.8597285,379.2850679
487.6515837,422.8959276
499.5429864,463.861991
416.2873303,362.1040724
478.4004525,434.7895928
467.8280543,436.1108597
490.2941176,469.1493213
414.9660633,372.6764706
363.4253394,315.8484163
420.2511312,396.4638009
544.4773756,490.2941176
379.2850679,325.10181
354.1742081,335.6742081
479.7217195,473.1131222
553.7285068,512.760181
520.6877828,494.2579186
503.5090498,477.0791855
414.9638009,377.9615385
340.4329412,348.6705882
393.9694118,344.5505882
473.5882353,429.6611765
451.6235294,443.3882353
339.0611765,336.3152941
351.4164706,286.8988235
340.3976471,343.1411765
437.8494118,432.36
325.3341176,300.6235294
402.2070588,376.1247059
384.32,321.1835294
330.7905882,328.0470588
369.2235294,348.6329412
411.7717647,348.6329412
433.7341176,381.5764706
332.1647059,312.9482353
315.6917647,304.7129412
348.6705882,396.7152941
452.9952941,458.4870588
458.4870588,420.0517647
450.2023529,418.6329412
381.5764706,376.0847059
