X,Y
211.3968413,202.3997628
200.564009,214.8900097
142.8631702,150.8635077
267.4186773,258.5294138
137.9740752,142.6012546
154.3248531,129.185963
75.85840135,87.71127659
61.09535382,62.96561964
147.9474618,152.1594891
309.5840212,316.5150069
172.1666191,161.6365507
170.3566085,169.7567613
252.4701714,229.4585672
50.56790424,41.05940958
121.1743742,151.8215895
88.27969426,103.7106977
137.3073847,136.4010653
77.34885529,78.55116927
93.48710091,125.2292329
121.4546497,136.0500585
143.502311,139.5784196
71.69352737,63.58904174
113.237529,126.2036585
97.1280979,141.4486862
146.0850566,124.4748411
139.5548414,138.6275667
93.64426622,119.1155066
70.02233846,99.05599105
75.65932634,87.50958226
135.0363398,128.246803
73.92789362,107.1290436
60.80459572,101.9478254
81.63160705,118.6990204
136.2098488,149.8308337
47.06140731,64.75649654
51.04509069,57.82956462
142.0135172,177.8615896
117.2668565,189.8889706
108.3684348,128.2105426
129.1790423,133.8076073
229.7375895,216.2676331
263.6090087,253.661499
222.8539529,219.8177957
56.61110537,68.00236457
45.590232,64.8150288
69.90468823,74.7020688
46.03368754,47.621056
44.50678903,58.05233349
82.0442752,100.004216
81.79987017,93.21380549
83.32929326,100.9566437
87.08606514,85.22657623
63.25513698,82.10388996
43.8173615,61.60786917
310.8471993,305.6807639
58.762586,53.32160582
124.2839689,145.3490484
132.0835407,148.4189609
166.1096364,181.5989594
149.3923411,153.4456217
356.7207921,369.2126733
462.2091089,445.5540594
431.6720792,401.1374257
487.1928713,459.4312871
480.2518812,469.1477228
478.8641584,446.9394059
367.8249505,376.1512871
405.3005941,385.8677228
591.2958416,551.0423762
417.7924752,383.0922772
499.6871287,495.5215842
470.5354455,462.2091089
412.2392079,401.1350495
452.4926733,433.0621782
460.8213861,462.2091089
481.639604,441.3885149
471.9255446,459.4336634
481.639604,463.5968317
423.3433663,421.9556436
434.449901,410.8538614
444.1639604,462.2091089
377.5390099,362.2716832
437.2253465,390.0332673
405.3005941,396.9718812
403.9128713,410.8514851
421.9556436,430.2843564
679.4352475,625.9960396
430.2843564,421.9556436
423.3457426,405.3005941
480.2542574,440.0007921
444.1663366,413.6293069
417.7924752,408.0760396
373.3758416,360.8839604
442.7762376,423.3433663
392.2615385,397.6546154
350.4738462,351.8215385
359.9076923,357.2123077
372.0415385,403.0453846
446.1807692,444.8330769
349.1261538,339.69
425.9584615,386.8684615
347.7761538,342.3853846
404.3930769,401.6953846
514.0274286,495.3371429
423.2388571,419.2342857
444.6011429,441.9314286
508.688,465.9634286
522.0388571,508.688
459.2891429,431.2502857
419.2342857,411.2228571
348.4708571,331.1131429
465.9634286,447.2708571
455.2822857,448.6057143
412.5577143,381.8491429
571.3381132,543.5660377
440.4067925,428.5041509
395.4407547,404.6988679
359.730566,365.0196226
403.3766038,402.0543396
484.050566,465.5343396
399.4075472,392.7939623
466.8566038,474.7924528
354.4415094,384.8603774
449.6649057,439.0845283
482.7283019,470.8256604
525.0498113,536.9524528
579.2739623,572.6626415
530.3388679,514.469434
314.7667925,305.5086792
375.6022642,392.7962264
530.9532379,501.1801594
465.2043557,441.6340018
491.3827723,486.6004582
462.1360519,458.7953093
443.4432386,404.0023735
409.6575684,387.8091648
425.2662269,423.1184177
467.6087573,435.6984485
438.9942264,426.8612201
402.5396628,400.3812732
417.4579207,404.2536554
418.3916362,408.1313508
405.4994827,361.1017291
448.7730816,432.0693689
405.9359328,369.7749734
410.0940266,393.9061044
